"Age","1876","1877","1878","1879","1880","1881","1882","1883","1884","1885","1886","1887","1888","1889","1890","1891","1892","1893","1894","1895","1896","1897","1898","1899","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
10,72178,70494,71078,74025,74095,72740,75149,77130,77507,76521,77198,78059,79390,77265,78691,77245,79931,78760,78415,79914,81852,81484,80279,81708,80303,81577,83006,82853,81433,82819,83507,84607,85981,84960,85892,84654,87562,87438,88222,88653,89467,89462,86059,88326,87556,90271,91070,92177,92263,92056,92395,92409,92435,92783,93209,93278,93190,93685,94084,93612,94020,93720,94220,94621,93877,94392,94851,94955,94593,94805,94990,95307,95791,95910,96377,96472,96633,96656,96829,96879,97116,97301,97509,97498,97589,97562,97449,97601,97805,97943,97945,98024,98013,98116,98218,98298,98430,98484,98528,98730,98719,98776,98955,98945,98962,99047,99039,99064,99086,99108,99128,99137,99201,99150,99155,99209,99267,99224,99378,99409,99432,99372,99475,99467,99444,99435,99443,99479,99463,99530,99485,99493,99545,99508,99504,99547,99540,99577,99574,99568,99552
11,71887,70144,70762,73753,73800,72470,74864,76872,77238,76275,76959,77843,79136,77021,78454,76969,79664,78480,78155,79693,81652,81229,80045,81492,80079,81359,82831,82668,81201,82622,83331,84447,85826,84765,85736,84439,87390,87277,88050,88502,89315,89305,85786,88158,87362,90110,90934,92065,92160,91921,92289,92291,92312,92658,93093,93186,93084,93591,93984,93502,93931,93627,94115,94528,93795,94299,94779,94867,94507,94738,94918,95230,95740,95886,96338,96434,96599,96614,96802,96842,97084,97273,97476,97475,97565,97532,97422,97571,97780,97927,97924,97999,97982,98087,98190,98279,98408,98459,98510,98709,98701,98761,98939,98928,98947,99022,99029,99046,99077,99087,99109,99123,99179,99143,99137,99196,99249,99209,99366,99398,99421,99362,99466,99449,99437,99429,99440,99475,99454,99521,99478,99484,99538,99504,99498,99538,99536,99566,99565,99559,99546
12,71627,69853,70450,73496,73573,72231,74596,76630,76973,76044,76743,77595,78880,76789,78190,76723,79423,78227,77916,79459,81427,80988,79824,81298,79883,81142,82670,82452,80988,82425,83141,84264,85672,84570,85576,84225,87219,87117,87892,88344,89168,89133,85503,87969,87177,89949,90798,91942,92063,91802,92187,92176,92201,92535,92982,93086,92980,93489,93883,93392,93830,93531,94016,94425,93685,94204,94716,94794,94435,94662,94843,95141,95694,95832,96300,96400,96552,96576,96772,96806,97047,97242,97446,97446,97542,97503,97393,97549,97762,97905,97909,97974,97953,98067,98170,98254,98388,98430,98490,98681,98685,98752,98921,98911,98926,98999,99016,99033,99060,99073,99086,99106,99165,99137,99121,99185,99237,99194,99351,99387,99404,99348,99456,99434,99418,99419,99434,99471,99442,99513,99470,99475,99532,99497,99489,99530,99532,99555,99556,99549,99539
13,71358,69579,70141,73244,73357,71990,74340,76356,76724,75782,76492,77341,78634,76560,77883,76469,79162,77988,77663,79225,81193,80724,79601,81095,79690,80937,82493,82199,80746,82185,82915,84047,85464,84372,85382,84002,87006,86932,87725,88181,89026,88911,85197,87762,86994,89779,90630,91809,91963,91671,92085,92048,92087,92408,92861,92984,92873,93371,93789,93267,93720,93413,93912,94328,93579,94098,94638,94727,94356,94578,94765,95058,95638,95776,96246,96368,96514,96544,96738,96779,97018,97203,97413,97403,97509,97475,97360,97526,97745,97879,97884,97940,97929,98046,98146,98225,98363,98402,98478,98652,98665,98742,98898,98885,98906,98978,99004,99022,99039,99060,99062,99097,99153,99129,99107,99173,99226,99185,99333,99377,99386,99331,99442,99428,99401,99409,99424,99461,99425,99506,99462,99469,99525,99488,99481,99520,99524,99547,99547,99539,99534
14,71054,69293,69828,72946,73108,71708,74077,76071,76444,75492,76205,77087,78369,76307,77547,76187,78888,77726,77398,78970,80948,80423,79371,80854,79460,80716,82249,81919,80477,81928,82657,83826,85216,84130,85126,83770,86800,86728,87549,87977,88874,88677,84824,87534,86784,89589,90455,91649,91827,91533,91947,91903,91931,92262,92720,92870,92727,93269,93685,93131,93611,93312,93804,94244,93479,93999,94536,94650,94273,94490,94675,94976,95577,95718,96191,96328,96479,96501,96697,96753,96992,97154,97384,97368,97478,97443,97328,97504,97722,97855,97857,97912,97900,98022,98123,98186,98328,98381,98461,98629,98641,98727,98873,98852,98885,98956,98990,99005,99023,99043,99041,99089,99131,99113,99090,99158,99209,99173,99312,99366,99371,99313,99427,99415,99389,99393,99415,99444,99406,99497,99453,99461,99518,99475,99475,99514,99515,99544,99537,99527,99521
15,70702,68981,69504,72614,72794,71367,73768,75753,76121,75131,75892,76794,78059,76005,77171,75852,78602,77384,77101,78631,80649,80135,79101,80576,79182,80444,81932,81622,80188,81646,82376,83547,84952,83827,84854,83500,86557,86501,87336,87747,88656,88440,84401,87265,86545,89372,90278,91473,91639,91355,91768,91725,91761,92090,92563,92711,92560,93158,93566,93007,93487,93200,93673,94150,93386,93893,94426,94557,94178,94408,94571,94903,95508,95644,96150,96294,96434,96461,96663,96720,96958,97101,97354,97345,97455,97412,97296,97483,97686,97832,97831,97883,97868,97990,98098,98135,98288,98344,98430,98605,98619,98704,98846,98821,98857,98931,98967,98978,99007,99007,99017,99071,99103,99089,99073,99141,99183,99153,99294,99344,99346,99292,99414,99395,99373,99376,99399,99417,99391,99481,99440,99443,99508,99461,99470,99507,99513,99535,99521,99516,99505
16,70336,68587,69153,72238,72401,71020,73394,75349,75778,74724,75510,76442,77671,75642,76760,75454,78261,77037,76748,78236,80318,79815,78797,80293,78834,80127,81577,81287,79828,81305,82023,83207,84647,83519,84553,83192,86242,86228,87051,87482,88394,88142,83890,86929,86259,89128,90076,91291,91417,91139,91569,91510,91571,91877,92365,92527,92379,93001,93435,92856,93355,93040,93547,94034,93289,93766,94299,94434,94065,94307,94472,94825,95431,95574,96110,96258,96385,96420,96621,96678,96920,97056,97326,97307,97431,97379,97260,97450,97647,97804,97792,97848,97844,97953,98063,98092,98251,98301,98399,98573,98584,98661,98815,98790,98822,98901,98935,98947,98981,98976,98986,99034,99068,99055,99049,99113,99154,99133,99265,99313,99315,99265,99398,99369,99349,99360,99384,99400,99379,99457,99423,99423,99494,99447,99458,99499,99507,99520,99504,99504,99495
17,69884,68154,68765,71821,71979,70658,72956,74948,75392,74312,75110,76054,77227,75234,76310,75042,77856,76663,76360,77820,79948,79433,78446,79980,78443,79761,81173,80885,79386,80912,81597,82824,84292,83193,84234,82853,85903,85908,86714,87204,88093,87787,83266,86560,85923,88861,89841,91067,91176,90899,91327,91246,91330,91636,92129,92329,92145,92798,93281,92696,93209,92869,93421,93897,93178,93625,94149,94288,93950,94171,94355,94712,95356,95505,96049,96201,96345,96365,96566,96625,96881,97020,97293,97264,97397,97333,97219,97411,97618,97766,97750,97821,97813,97910,98018,98050,98211,98265,98358,98527,98541,98609,98776,98749,98770,98863,98892,98920,98950,98952,98947,98993,99034,99012,99018,99087,99126,99110,99226,99279,99290,99235,99377,99337,99324,99341,99366,99388,99361,99432,99397,99399,99473,99435,99444,99484,99493,99505,99496,99493,99485
18,69424,67723,68376,71401,71563,70257,72508,74545,74939,73851,74710,75616,76780,74803,75827,74622,77418,76221,75958,77391,79509,79008,78052,79634,78062,79387,80733,80454,78944,80485,81179,82396,83894,82830,83894,82478,85537,85566,86334,86907,87763,87410,82586,86193,85570,88573,89567,90790,90924,90617,91038,90950,91059,91400,91878,92108,91910,92563,93105,92512,93029,92706,93276,93755,93044,93497,93998,94136,93820,94023,94213,94582,95273,95418,95985,96146,96301,96301,96510,96574,96843,96973,97246,97222,97351,97287,97174,97369,97585,97729,97710,97778,97770,97863,97969,97990,98169,98229,98311,98463,98499,98562,98737,98694,98720,98816,98846,98884,98911,98914,98907,98961,99003,98961,98983,99052,99095,99078,99198,99243,99262,99204,99352,99306,99305,99314,99339,99364,99332,99405,99361,99377,99450,99419,99425,99465,99477,99487,99486,99482,99467
19,69017,67262,67957,70937,71182,69847,72073,74105,74480,73359,74279,75170,76335,74333,75351,74171,76988,75789,75526,76964,79067,78568,77648,79265,77676,79000,80269,80022,78529,80047,80762,81944,83520,82432,83513,82090,85172,85206,85947,86562,87379,87017,81826,85780,85211,88271,89272,90463,90619,90319,90734,90658,90774,91125,91611,91868,91670,92325,92899,92296,92840,92533,93108,93590,92885,93360,93848,94004,93676,93865,94058,94421,95182,95330,95911,96095,96233,96235,96459,96522,96803,96911,97186,97177,97306,97242,97128,97327,97552,97687,97663,97720,97723,97819,97921,97929,98118,98185,98256,98405,98449,98518,98701,98642,98682,98755,98788,98840,98867,98875,98865,98921,98961,98916,98939,98999,99053,99037,99165,99209,99227,99169,99327,99272,99280,99279,99306,99334,99300,99377,99336,99361,99430,99391,99394,99453,99462,99469,99474,99466,99451
