"Age","1876","1877","1878","1879","1880","1881","1882","1883","1884","1885","1886","1887","1888","1889","1890","1891","1892","1893","1894","1895","1896","1897","1898","1899","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
20,68578,66823,67511,70402,70795,69405,71629,73611,74058,72809,73812,74735,75919,73863,74897,73749,76552,75334,75078,76517,78628,78134,77217,78891,77235,78597,79808,79591,78115,79597,80331,81496,83141,82023,83116,81688,84795,84830,85569,86210,86997,86595,80971,85344,84810,87977,88966,90116,90259,90013,90439,90353,90462,90823,91354,91577,91417,92084,92672,92087,92637,92357,92903,93404,92723,93183,93696,93857,93536,93706,93910,94250,95093,95246,95825,96022,96167,96183,96403,96467,96761,96860,97122,97128,97263,97182,97083,97282,97513,97643,97618,97675,97672,97775,97873,97874,98068,98137,98196,98359,98399,98486,98664,98582,98639,98690,98732,98785,98822,98837,98821,98875,98912,98869,98903,98940,99011,98992,99125,99176,99200,99135,99298,99242,99248,99252,99265,99308,99273,99350,99310,99336,99406,99363,99373,99437,99443,99453,99467,99453,99438
21,68131,66433,67062,69872,70359,68908,71165,73095,73623,72223,73305,74258,75440,73416,74406,73329,76099,74883,74637,76085,78192,77712,76797,78522,76779,78184,79375,79141,77684,79128,79892,81047,82749,81595,82688,81267,84402,84464,85203,85867,86638,86195,80085,84925,84408,87675,88639,89788,89918,89706,90116,90034,90137,90519,91097,91271,91169,91833,92430,91828,92373,92158,92694,93210,92552,92995,93517,93685,93385,93545,93757,94112,94983,95146,95738,95932,96096,96127,96343,96409,96724,96817,97065,97080,97207,97122,97031,97222,97464,97599,97572,97635,97613,97722,97827,97819,98021,98088,98152,98306,98350,98447,98627,98516,98582,98639,98684,98723,98776,98784,98765,98826,98859,98820,98873,98893,98973,98949,99078,99143,99180,99103,99264,99214,99210,99231,99228,99290,99251,99324,99290,99311,99385,99338,99356,99412,99424,99437,99453,99444,99423
22,67649,66003,66618,69368,69887,68385,70656,72606,73153,71695,72797,73761,74863,72952,73879,72869,75633,74484,74189,75632,77737,77289,76376,78144,76362,77725,78926,78673,77213,78688,79452,80558,82346,81141,82263,80817,84012,84077,84842,85528,86273,85835,79152,84470,84018,87342,88308,89441,89577,89383,89773,89682,89831,90205,90824,90944,90872,91575,92183,91536,92103,91927,92460,92988,92369,92807,93315,93516,93220,93376,93570,93982,94862,95043,95648,95848,96014,96065,96283,96349,96683,96766,97014,97028,97148,97075,96976,97171,97420,97549,97530,97597,97557,97660,97782,97775,97965,98037,98112,98250,98308,98400,98582,98452,98522,98602,98632,98661,98734,98731,98719,98766,98815,98769,98829,98852,98922,98913,99031,99100,99155,99070,99227,99180,99177,99203,99195,99266,99225,99298,99275,99290,99365,99319,99337,99393,99411,99425,99430,99435,99406
23,67112,65514,66135,68899,69404,67896,70113,72103,72628,71206,72257,73255,74262,72422,73327,72392,75188,74021,73724,75148,77278,76886,75913,77728,75910,77264,78457,78226,76724,78256,78993,80036,81881,80681,81827,80363,83617,83702,84443,85166,85935,85454,78134,84015,83591,86994,87975,89084,89212,89052,89428,89328,89512,89890,90520,90609,90553,91298,91893,91254,91869,91671,92228,92742,92184,92599,93147,93329,93055,93187,93403,93826,94732,94946,95559,95770,95945,96007,96221,96294,96638,96720,96961,96970,97095,97030,96928,97137,97374,97504,97494,97558,97508,97608,97744,97735,97919,97984,98058,98198,98274,98363,98536,98398,98455,98560,98580,98607,98684,98691,98677,98714,98762,98710,98787,98809,98868,98876,98981,99047,99119,99038,99183,99143,99146,99175,99165,99239,99199,99268,99255,99263,99347,99304,99320,99379,99392,99410,99407,99420,99392
24,66547,64999,65603,68403,68906,67437,69583,71579,72070,70672,71665,72729,73699,71892,72733,71849,74736,73544,73210,74689,76843,76468,75453,77256,75435,76808,77992,77799,76223,77783,78496,79533,81370,80178,81395,79940,83188,83322,84006,84780,85593,85058,77080,83539,83132,86647,87646,88767,88859,88714,89069,88978,89142,89537,90210,90293,90238,90989,91569,90951,91613,91414,92024,92500,91985,92391,92980,93126,92884,92978,93241,93655,94584,94853,95482,95693,95872,95943,96153,96233,96600,96666,96900,96911,97032,96983,96879,97106,97325,97462,97444,97501,97471,97555,97706,97690,97882,97927,98009,98159,98241,98325,98494,98355,98387,98499,98532,98557,98632,98647,98627,98675,98695,98656,98736,98757,98824,98836,98935,98994,99079,99006,99146,99108,99115,99152,99128,99216,99174,99241,99227,99234,99327,99284,99305,99357,99375,99392,99391,99403,99375
25,65981,64461,65050,67825,68387,66971,69042,71056,71521,70078,71091,72212,73178,71397,72178,71274,74249,73091,72683,74232,76391,75992,75009,76801,74943,76371,77539,77361,75718,77246,78025,79057,80885,79680,80970,79532,82716,82898,83550,84402,85215,84680,76017,83045,82668,86265,87290,88444,88528,88356,88713,88625,88753,89155,89894,89972,89925,90690,91275,90665,91350,91158,91773,92275,91742,92179,92794,92907,92695,92776,93036,93476,94437,94753,95408,95598,95788,95868,96076,96163,96559,96596,96844,96836,96969,96942,96831,97059,97280,97411,97392,97439,97425,97494,97663,97637,97842,97886,97969,98121,98201,98274,98458,98302,98336,98442,98479,98501,98596,98605,98579,98625,98632,98604,98674,98709,98777,98789,98894,98943,99046,98977,99110,99080,99087,99122,99097,99184,99150,99213,99193,99202,99297,99259,99291,99324,99362,99375,99378,99391,99352
26,65399,63948,64517,67261,67834,66509,68503,70519,70956,69489,70546,71706,72654,70900,71657,70719,73746,72613,72168,73763,75955,75496,74565,76366,74422,75908,77087,76878,75209,76678,77584,78618,80419,79167,80532,79111,82257,82471,83142,84044,84813,84290,74971,82580,82230,85835,86916,88101,88188,87988,88349,88283,88407,88782,89573,89618,89601,90391,90989,90395,91090,90887,91508,92043,91494,91959,92605,92681,92481,92562,92821,93292,94292,94630,95321,95466,95718,95777,95998,96078,96485,96532,96788,96762,96898,96892,96777,97004,97226,97364,97340,97382,97361,97435,97619,97584,97793,97849,97919,98083,98158,98224,98418,98261,98288,98387,98415,98449,98555,98559,98523,98567,98576,98551,98625,98667,98725,98733,98843,98900,99011,98944,99069,99052,99056,99091,99071,99144,99126,99188,99163,99171,99267,99232,99273,99295,99347,99356,99358,99374,99334
27,64796,63403,64009,66735,67258,66017,67998,69947,70372,68867,69993,71165,72111,70404,71073,70164,73194,72123,71586,73264,75464,75025,74113,75917,73925,75428,76612,76371,74712,76146,77091,78168,79925,78644,80080,78671,81840,82059,82797,83650,84420,83872,73879,82108,81764,85451,86547,87762,87839,87599,88010,87960,88049,88439,89279,89248,89246,90082,90708,90112,90822,90595,91274,91804,91280,91748,92372,92473,92272,92343,92604,93115,94131,94498,95205,95327,95646,95676,95922,95986,96406,96469,96725,96705,96824,96838,96713,96945,97161,97318,97287,97328,97295,97374,97580,97527,97733,97804,97881,98044,98120,98183,98375,98210,98242,98321,98361,98404,98499,98508,98459,98513,98531,98496,98571,98613,98673,98676,98789,98859,98967,98909,99045,99010,99010,99058,99041,99110,99102,99160,99138,99144,99241,99209,99251,99274,99325,99337,99339,99359,99320
28,64216,62790,63436,66199,66711,65452,67455,69427,69781,68226,69438,70618,71571,69882,70488,69560,72627,71601,70993,72733,74955,74560,73658,75442,73418,74976,76115,75892,74240,75677,76598,77646,79410,78167,79610,78220,81418,81641,82396,83220,84031,83447,72731,81646,81302,85103,86155,87429,87462,87226,87664,87649,87680,88106,88986,88926,88928,89798,90460,89833,90543,90300,91020,91577,91080,91541,92118,92283,92067,92135,92425,92941,93975,94343,95074,95199,95561,95583,95841,95908,96337,96394,96663,96629,96764,96784,96639,96878,97098,97262,97229,97278,97240,97325,97535,97469,97683,97763,97841,97991,98071,98139,98328,98154,98200,98265,98310,98348,98442,98462,98401,98480,98490,98440,98516,98563,98620,98609,98731,98814,98919,98874,99019,98966,98969,99023,99006,99085,99073,99122,99115,99120,99216,99189,99224,99248,99298,99317,99318,99349,99297
29,63660,62214,62841,65636,66153,64854,66890,68906,69213,67656,68871,70088,70984,69260,69915,68944,72086,71086,70435,72186,74435,74071,73200,74937,72938,74525,75603,75423,73734,75238,76136,77104,78871,77680,79149,77760,80956,81229,81947,82801,83645,83020,71645,81174,80837,84728,85770,87091,87076,86854,87289,87311,87345,87745,88679,88626,88629,89522,90189,89551,90258,90039,90751,91347,90863,91328,91876,92070,91839,91900,92239,92767,93845,94203,94961,95078,95465,95484,95762,95841,96259,96307,96609,96550,96698,96718,96568,96813,97033,97202,97161,97224,97194,97283,97478,97415,97635,97723,97789,97937,98016,98085,98270,98097,98151,98214,98243,98295,98388,98416,98345,98451,98438,98388,98468,98504,98566,98546,98673,98758,98872,98837,98979,98923,98929,98986,98969,99058,99038,99089,99081,99094,99187,99169,99192,99228,99270,99304,99292,99330,99269
30,63094,61690,62313,65058,65577,64240,66304,68332,68610,67130,68252,69515,70384,68607,69328,68416,71586,70544,69861,71645,73859,73591,72761,74457,72473,74055,75108,74919,73180,74752,75640,76581,78357,77167,78701,77259,80472,80787,81526,82357,83269,82582,70576,80666,80338,84322,85392,86735,86721,86458,86916,86988,86997,87388,88368,88335,88316,89218,89885,89248,89973,89786,90493,91106,90615,91126,91646,91831,91622,91659,92038,92594,93690,94086,94845,94969,95358,95392,95683,95765,96179,96209,96533,96489,96619,96654,96500,96745,96954,97135,97100,97166,97140,97219,97422,97351,97563,97671,97733,97882,97957,98029,98212,98038,98089,98165,98184,98256,98339,98364,98294,98410,98385,98331,98411,98438,98515,98487,98610,98691,98821,98787,98940,98871,98887,98940,98935,99022,99008,99064,99048,99066,99155,99146,99162,99209,99241,99288,99264,99311,99247
31,62502,61179,61773,64496,65008,63652,65661,67771,67937,66587,67643,68966,69813,67999,68692,67863,71091,69976,69264,71114,73307,73109,72322,73996,71981,73535,74617,74418,72623,74269,75112,76096,77845,76669,78256,76752,80002,80337,81114,81898,82848,82113,69576,80148,79884,83910,85012,86375,86349,86066,86557,86672,86643,87055,88066,88021,88000,88919,89588,88928,89654,89505,90204,90870,90356,90939,91437,91610,91392,91428,91866,92399,93513,93951,94716,94856,95227,95289,95585,95674,96078,96124,96449,96409,96548,96586,96418,96665,96878,97070,97034,97112,97084,97145,97368,97285,97487,97616,97667,97827,97901,97976,98155,97989,98028,98117,98138,98221,98292,98309,98237,98365,98327,98278,98348,98367,98460,98416,98533,98620,98763,98726,98900,98825,98853,98893,98894,98980,98971,99041,99010,99043,99124,99123,99134,99176,99220,99268,99236,99291,99220
32,61860,60607,61177,63867,64427,63101,65046,67194,67265,65998,67042,68436,69221,67389,68028,67247,70533,69401,68716,70536,72745,72630,71841,73503,71486,73025,74130,73948,72097,73776,74592,75575,77333,76187,77806,76272,79554,79858,80673,81462,82388,81683,68628,79644,79448,83505,84634,86005,85979,85724,86245,86347,86320,86738,87772,87663,87670,88639,89316,88590,89372,89222,89923,90624,90118,90728,91216,91412,91155,91204,91663,92200,93341,93812,94574,94706,95088,95165,95469,95579,95964,96031,96377,96325,96485,96510,96324,96576,96814,97005,96956,97060,97024,97077,97309,97220,97419,97567,97593,97774,97844,97916,98090,97940,97980,98056,98087,98176,98246,98260,98177,98317,98260,98229,98285,98294,98389,98353,98455,98550,98709,98678,98853,98781,98811,98852,98856,98943,98925,99013,98961,99009,99091,99095,99105,99143,99192,99246,99213,99261,99192
33,61252,59978,60566,63198,63821,62577,64424,66573,66635,65389,66404,67887,68607,66776,67432,66619,69966,68798,68205,69963,72172,72184,71334,73005,70953,72513,73647,73431,71571,73203,74093,75060,76788,75727,77359,75799,79077,79340,80220,81015,81922,81254,67627,79113,78967,83085,84229,85608,85615,85404,85963,86019,86003,86383,87434,87307,87321,88335,89033,88269,89115,88979,89677,90352,89898,90518,90979,91191,90915,90977,91438,92029,93170,93666,94422,94520,94945,95048,95349,95471,95853,95925,96288,96242,96412,96426,96235,96490,96741,96926,96894,97005,96958,97015,97233,97155,97343,97510,97520,97714,97775,97850,98027,97883,97917,97985,98034,98124,98187,98202,98125,98260,98194,98173,98234,98224,98316,98296,98394,98469,98649,98637,98803,98737,98772,98808,98816,98900,98872,98978,98922,98970,99053,99061,99073,99113,99161,99217,99183,99228,99163
34,60616,59349,59916,62575,63169,62020,63802,65939,66004,64766,65743,67287,67976,66203,66855,65955,69398,68189,67625,69385,71644,71697,70766,72503,70391,71964,73140,72863,71032,72661,73563,74577,76239,75238,76878,75333,78597,78878,79773,80588,81477,80780,66681,78508,78452,82648,83788,85208,85216,85048,85647,85660,85681,86022,87054,86969,86964,88021,88705,87978,88847,88723,89436,90077,89660,90325,90742,90960,90676,90733,91200,91845,92970,93510,94267,94350,94824,94910,95232,95340,95751,95826,96186,96144,96332,96320,96154,96412,96652,96838,96827,96933,96901,96953,97158,97093,97262,97450,97446,97642,97711,97779,97974,97813,97843,97917,97976,98072,98110,98123,98055,98194,98130,98111,98176,98153,98259,98227,98336,98384,98577,98591,98749,98691,98736,98762,98771,98855,98822,98929,98891,98933,99012,99028,99040,99069,99137,99188,99151,99201,99127
35,59883,58752,59279,61955,62513,61345,63203,65350,65311,64110,65072,66640,67319,65664,66249,65281,68803,67570,67009,68779,71135,71162,70179,71978,69823,71405,72618,72312,70472,72176,73056,74061,75739,74696,76363,74878,78131,78423,79315,80158,81050,80316,65835,77925,77934,82204,83348,84835,84807,84663,85302,85277,85362,85692,86675,86637,86642,87704,88396,87672,88589,88456,89182,89808,89391,90079,90501,90761,90428,90490,90934,91638,92754,93337,94124,94191,94710,94763,95119,95211,95640,95714,96092,96042,96243,96202,96064,96315,96561,96750,96745,96850,96824,96860,97093,97022,97185,97391,97372,97557,97638,97714,97910,97743,97769,97850,97912,98004,98029,98041,97978,98126,98070,98039,98106,98090,98198,98149,98264,98308,98513,98534,98691,98627,98690,98717,98725,98801,98774,98871,98851,98895,98971,98995,99001,99034,99110,99159,99122,99177,99088
36,59186,58124,58634,61327,61870,60685,62573,64742,64604,63449,64395,66024,66641,65094,65631,64655,68253,66940,66380,68182,70551,70606,69634,71418,69220,70852,72055,71748,69929,71677,72558,73545,75223,74161,75850,74423,77659,77945,78848,79707,80581,79850,65009,77417,77391,81759,82904,84482,84393,84289,84929,84885,85025,85375,86283,86284,86340,87371,88087,87327,88310,88193,88893,89534,89132,89817,90271,90552,90157,90225,90677,91405,92560,93154,93977,94022,94567,94628,94970,95071,95513,95604,96002,95937,96128,96071,95970,96200,96467,96658,96666,96758,96724,96762,97006,96916,97101,97327,97304,97471,97556,97647,97822,97658,97693,97783,97841,97924,97949,97968,97916,98057,98004,97960,98031,98020,98117,98083,98186,98235,98438,98466,98633,98565,98626,98659,98671,98743,98724,98820,98805,98854,98938,98963,98965,99004,99074,99122,99092,99143,99051
37,58511,57435,57997,60667,61227,60069,61864,64072,63938,62763,63707,65400,65989,64523,65002,64063,67726,66338,65718,67534,69914,70029,69090,70861,68607,70285,71503,71183,69396,71162,72022,73016,74678,73623,75312,73911,77184,77455,78357,79247,80056,79394,64222,76902,76828,81307,82425,84104,83972,83922,84549,84484,84668,85024,85916,85921,86002,86999,87757,86970,88025,87900,88576,89250,88867,89565,90020,90335,89893,89940,90428,91153,92347,92971,93812,93845,94423,94492,94815,94922,95387,95487,95876,95811,95994,95933,95868,96093,96367,96558,96584,96653,96620,96657,96916,96794,97006,97246,97237,97377,97473,97571,97731,97562,97617,97704,97769,97842,97880,97894,97855,97991,97931,97876,97948,97952,98040,98014,98120,98154,98360,98402,98569,98507,98553,98596,98615,98690,98676,98771,98762,98805,98893,98925,98923,98965,99033,99079,99060,99104,99013
38,57811,56761,57406,59993,60571,59409,61146,63414,63278,62085,63047,64733,65323,63858,64323,63500,67168,65752,65066,66905,69310,69431,68512,70321,68005,69693,70930,70636,68814,70619,71472,72467,74129,73083,74789,73373,76712,76933,77853,78781,79552,78930,63457,76376,76322,80876,81948,83663,83570,83515,84192,84049,84251,84636,85584,85582,85607,86624,87427,86625,87726,87596,88262,88948,88589,89300,89751,90115,89610,89666,90175,90919,92108,92791,93623,93658,94277,94356,94667,94780,95227,95357,95733,95662,95861,95807,95751,95995,96252,96449,96473,96547,96507,96543,96822,96683,96915,97158,97153,97284,97382,97497,97629,97465,97543,97618,97694,97766,97802,97813,97776,97917,97845,97792,97870,97885,97969,97924,98053,98066,98286,98334,98503,98440,98484,98536,98567,98638,98621,98712,98722,98759,98840,98888,98869,98923,98995,99028,99020,99067,98967
39,57106,56137,56755,59327,59895,58739,60477,62778,62599,61407,62429,64112,64640,63151,63593,62941,66546,65088,64440,66329,68746,68828,67903,69762,67423,69129,70324,70039,68235,70039,70902,71893,73626,72541,74287,72831,76210,76404,77299,78327,79073,78446,62666,75848,75806,80445,81472,83202,83161,83089,83787,83621,83820,84239,85247,85226,85205,86245,87082,86289,87398,87290,87981,88629,88306,89017,89485,89864,89338,89403,89916,90676,91909,92614,93417,93482,94104,94209,94470,94617,95053,95227,95586,95502,95740,95678,95623,95892,96116,96335,96340,96434,96390,96437,96705,96567,96824,97069,97034,97187,97291,97402,97527,97367,97461,97520,97601,97677,97706,97718,97694,97832,97755,97704,97789,97808,97887,97821,97982,97988,98211,98251,98433,98360,98411,98463,98511,98580,98563,98651,98667,98713,98785,98843,98815,98878,98956,98971,98974,99017,98930
40,56442,55511,56139,58649,59166,58070,59757,62123,61892,60685,61837,63519,64028,62467,62864,62279,65905,64426,63825,65727,68163,68282,67318,69187,66812,68534,69743,69401,67661,69448,70296,71305,73085,71977,73744,72265,75697,75896,76740,77818,78557,77964,61918,75290,75237,79972,80981,82750,82679,82667,83346,83216,83417,83832,84902,84843,84818,85849,86719,85939,87026,86962,87692,88290,87987,88735,89221,89593,89057,89111,89646,90428,91689,92407,93213,93288,93919,94034,94249,94441,94893,95067,95444,95365,95606,95524,95469,95752,95978,96214,96210,96306,96247,96320,96574,96444,96710,96964,96907,97069,97220,97283,97430,97268,97358,97408,97497,97583,97608,97608,97617,97731,97665,97615,97700,97713,97796,97731,97886,97919,98141,98153,98353,98282,98338,98386,98429,98506,98494,98592,98600,98663,98731,98779,98754,98827,98910,98921,98922,98965,98884
41,55822,54823,55551,57979,58471,57350,59050,61422,61200,59994,61190,62872,63441,61783,62184,61597,65284,63834,63220,65105,67558,67724,66769,68559,66159,67879,69192,68778,67049,68836,69690,70713,72476,71442,73202,71708,75182,75355,76196,77322,78024,77474,61235,74712,74682,79491,80517,82290,82130,82234,82913,82788,83011,83404,84527,84437,84448,85451,86349,85543,86638,86632,87327,87936,87653,88458,88956,89304,88754,88784,89359,90192,91426,92188,92989,93047,93735,93834,94030,94246,94693,94899,95295,95212,95447,95353,95298,95592,95830,96076,96076,96164,96107,96195,96434,96308,96579,96838,96801,96954,97143,97159,97319,97165,97245,97294,97380,97478,97493,97497,97522,97618,97565,97521,97605,97614,97700,97641,97769,97828,98041,98060,98267,98207,98260,98302,98337,98428,98413,98517,98529,98596,98676,98713,98690,98764,98859,98864,98868,98920,98820
42,55186,54173,54922,57331,57860,56625,58353,60719,60523,59339,60494,62206,62738,61126,61522,60935,64636,63208,62582,64489,66952,67133,66216,67956,65543,67234,68615,68223,66479,68215,69107,70107,71840,70878,72642,71189,74633,74801,75664,76866,77473,76930,60552,74119,74141,78987,80021,81835,81600,81776,82445,82323,82619,82950,84145,84014,84059,85071,85974,85134,86252,86288,86952,87597,87319,88136,88671,88997,88422,88451,89053,89919,91142,91979,92737,92791,93514,93630,93828,94045,94487,94707,95138,95014,95290,95149,95112,95434,95658,95910,95932,96003,95972,96058,96295,96165,96439,96699,96682,96838,97028,97030,97204,97053,97118,97171,97259,97350,97374,97388,97403,97514,97459,97412,97496,97507,97601,97539,97655,97712,97925,97961,98163,98121,98169,98210,98250,98350,98336,98422,98449,98514,98615,98646,98636,98693,98798,98800,98818,98873,98764
43,54528,53558,54335,56661,57238,55939,57642,60059,59858,58671,59834,61539,62070,60442,60884,60267,63956,62544,61877,63902,66371,66546,65672,67398,64934,66628,67987,67657,65936,67619,68512,69469,71214,70295,72088,70635,74059,74251,75156,76344,76932,76362,59827,73515,73599,78453,79534,81354,81127,81313,81981,81814,82195,82461,83726,83571,83639,84686,85551,84719,85850,85904,86586,87234,86960,87801,88356,88666,88044,88118,88726,89628,90826,91735,92467,92554,93273,93399,93638,93818,94289,94470,94951,94835,95096,94931,94901,95250,95467,95725,95753,95834,95814,95902,96128,96011,96278,96551,96546,96691,96893,96901,97055,96922,96975,97045,97133,97227,97265,97262,97263,97391,97350,97297,97376,97369,97490,97427,97524,97586,97810,97845,98046,98018,98056,98109,98152,98252,98257,98326,98370,98432,98541,98580,98569,98616,98730,98736,98754,98814,98706
44,53863,52924,53738,56043,56569,55304,56974,59403,59226,57974,59160,60838,61475,59731,60216,59641,63292,61811,61205,63277,65781,65886,65083,66818,64344,66063,67367,67034,65335,67017,67918,68818,70609,69758,71574,70051,73459,73665,74620,75793,76354,75796,59153,72925,73022,77911,79079,80849,80642,80844,81517,81286,81713,81964,83294,83158,83181,84205,85112,84294,85431,85512,86191,86840,86571,87455,88017,88319,87651,87762,88387,89345,90489,91448,92167,92300,93048,93105,93409,93558,94044,94225,94726,94660,94862,94733,94683,95032,95284,95509,95562,95662,95667,95735,95940,95813,96088,96394,96391,96514,96742,96770,96880,96749,96837,96914,96980,97095,97133,97112,97095,97245,97227,97176,97240,97226,97371,97306,97392,97436,97672,97731,97925,97890,97937,98003,98032,98154,98153,98239,98285,98344,98447,98516,98477,98533,98652,98660,98677,98736,98638
45,53171,52281,53101,55414,55891,54669,56359,58748,58609,57235,58414,60094,60807,59023,59485,59045,62655,61101,60527,62581,65128,65216,64439,66197,63745,65495,66784,66465,64694,66408,67309,68225,69939,69158,71009,69440,72815,73085,74046,75191,75759,75196,58506,72355,72390,77407,78549,80361,80117,80341,81015,80798,81202,81437,82830,82723,82669,83698,84655,83849,84987,85106,85783,86457,86157,87077,87665,87973,87278,87380,88046,89024,90148,91134,91865,91986,92782,92846,93125,93299,93761,93999,94486,94450,94638,94512,94444,94809,95111,95289,95363,95457,95488,95558,95754,95590,95880,96214,96206,96343,96561,96629,96695,96540,96686,96760,96823,96953,96988,96943,96929,97094,97072,97029,97084,97091,97239,97181,97266,97283,97534,97615,97803,97756,97832,97887,97900,98056,98042,98139,98186,98250,98343,98436,98378,98439,98566,98574,98604,98649,98555
46,52477,51647,52494,54705,55217,53996,55696,58104,57985,56474,57704,59340,60086,58347,58717,58400,61998,60428,59827,61875,64435,64593,63805,65554,63072,64899,66183,65897,64024,65761,66674,67651,69239,68497,70353,68779,72130,72517,73438,74560,75132,74592,57827,71759,71739,76855,77931,79839,79571,79802,80483,80307,80700,80874,82299,82172,82199,83213,84182,83360,84520,84660,85341,86032,85719,86702,87296,87606,86894,86983,87687,88661,89795,90762,91541,91626,92465,92591,92825,92979,93463,93754,94218,94220,94402,94268,94210,94576,94888,95076,95148,95236,95252,95346,95528,95360,95667,95987,96005,96179,96374,96448,96486,96344,96500,96585,96661,96795,96829,96770,96799,96932,96900,96868,96929,96954,97089,97014,97117,97121,97404,97474,97681,97618,97717,97771,97749,97923,97936,98006,98059,98156,98239,98331,98273,98333,98466,98481,98525,98558,98474
47,51800,50970,51919,53973,54558,53299,54969,57430,57350,55744,57019,58600,59305,57626,57921,57752,61292,59694,59167,61215,63741,63910,63155,64942,62335,64269,65551,65253,63365,65060,66045,66967,68566,67861,69657,68131,71409,71869,72835,73920,74481,73923,57163,71162,71069,76223,77278,79265,78994,79276,79899,79742,80209,80310,81737,81570,81704,82694,83684,82777,84037,84207,84882,85570,85255,86280,86880,87187,86465,86554,87277,88284,89400,90368,91176,91263,92131,92256,92532,92645,93125,93468,93899,93938,94134,94021,93970,94303,94623,94846,94908,95009,95001,95079,95258,95118,95443,95755,95798,95970,96152,96249,96254,96142,96272,96393,96459,96613,96631,96583,96640,96763,96718,96694,96763,96807,96919,96822,96953,96936,97255,97306,97527,97475,97599,97638,97587,97767,97797,97873,97924,98051,98129,98204,98162,98211,98349,98375,98434,98460,98384
48,51112,50280,51246,53196,53852,52622,54250,56709,56677,55020,56283,57825,58537,56895,57141,57058,60568,58944,58463,60500,63043,63159,62442,64316,61597,63583,64881,64557,62744,64326,65369,66292,67834,67193,68926,67447,70707,71201,72205,73236,73860,73184,56422,70533,70303,75594,76602,78674,78377,78749,79298,79069,79660,79705,81171,80968,81121,82103,83136,82129,83541,83701,84384,85055,84781,85821,86423,86730,86030,86130,86836,87869,88977,89957,90794,90877,91772,91891,92201,92280,92761,93166,93553,93606,93856,93729,93685,93996,94316,94582,94652,94757,94734,94793,94973,94848,95174,95520,95589,95728,95921,96055,96024,95923,96023,96178,96248,96425,96419,96372,96431,96584,96527,96491,96552,96638,96733,96637,96779,96765,97093,97116,97342,97306,97447,97476,97425,97619,97633,97731,97788,97919,97988,98070,98045,98070,98230,98258,98323,98352,98274
49,50404,49597,50512,52396,53072,51975,53474,55912,55950,54269,55568,57015,57749,56128,56349,56265,59815,58189,57729,59636,62272,62440,61676,63621,60869,62898,64170,63842,62113,63552,64638,65645,67038,66388,68168,66684,70047,70474,71523,72524,73173,72469,55682,69841,69516,74936,75882,78013,77689,78135,78683,78369,79033,79033,80600,80372,80500,81497,82542,81485,83014,83167,83857,84449,84282,85349,85963,86250,85527,85700,86340,87374,88514,89537,90370,90434,91368,91502,91795,91843,92387,92816,93211,93269,93538,93391,93375,93664,93985,94261,94362,94474,94440,94485,94683,94524,94863,95259,95355,95471,95692,95827,95809,95675,95780,95934,96021,96206,96179,96171,96229,96391,96304,96281,96308,96430,96519,96445,96585,96594,96909,96912,97156,97130,97260,97304,97244,97464,97459,97545,97618,97762,97853,97929,97898,97938,98099,98136,98205,98233,98149
50,49612,48838,49770,51607,52247,51229,52649,55101,55162,53502,54796,56245,56902,55298,55466,55523,58969,57424,56957,58739,61423,61744,60923,62829,60102,62149,63427,63010,61406,62735,63905,64895,66218,65544,67426,65883,69319,69608,70799,71798,72427,71671,54985,69139,68773,74244,75146,77288,76907,77410,78047,77698,78354,78328,79922,79697,79798,80871,81887,80832,82402,82603,83331,83810,83709,84789,85493,85722,84980,85183,85795,86813,87995,89072,89883,89963,90920,91065,91369,91405,92029,92412,92837,92943,93185,93040,93043,93307,93676,93924,94020,94179,94100,94133,94378,94207,94565,94960,95081,95193,95399,95552,95565,95408,95523,95684,95743,95941,95884,95943,96043,96184,96058,96052,96064,96209,96274,96224,96365,96394,96698,96692,96959,96935,97067,97114,97059,97284,97286,97370,97433,97588,97719,97769,97734,97808,97941,98007,98077,98098,98013
