"Age","1876","1877","1878","1879","1880","1881","1882","1883","1884","1885","1886","1887","1888","1889","1890","1891","1892","1893","1894","1895","1896","1897","1898","1899","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
10,68653,67000,68177,70318,70691,70076,72107,74910,74764,73479,74846,75178,76089,74800,75584,73641,76821,76007,75723,76558,79043,79024,77375,78930,77516,78448,80639,80770,79216,80385,81072,81685,83342,82484,83499,82257,85526,85230,85916,86503,87302,87228,84685,86379,85765,88083,89506,90241,90368,90705,90969,90945,90750,91235,91544,92022,91798,92370,92250,92224,92415,92452,93205,93156,92238,93264,93688,93566,93256,93595,93907,93838,94439,94846,95359,95414,95629,95677,96023,96104,96144,96367,96617,96657,96692,96752,96737,96759,97025,97308,97338,97245,97498,97548,97556,97638,97818,97906,97956,98249,98284,98470,98437,98623,98517,98719,98796,98731,98827,98897,98911,98955,98844,98918,98956,98984,99007,99159,99137,99204,99232,99307,99259,99265,99273,99266,99338,99408,99354,99362,99367,99475,99446,99402,99543,99464,99521,99448,99471,99440,99606
11,68387,66707,67912,70075,70445,69818,71850,74675,74528,73228,74614,74994,75876,74538,75324,73375,76592,75782,75486,76349,78861,78827,77191,78723,77333,78264,80471,80575,79016,80189,80890,81514,83172,82295,83333,82080,85374,85061,85790,86360,87145,87064,84415,86212,85573,87894,89379,90121,90240,90576,90847,90817,90614,91103,91406,91899,91664,92244,92163,92098,92314,92315,93075,93054,92125,93151,93562,93445,93146,93501,93820,93744,94351,94779,95288,95336,95574,95619,95969,96054,96101,96309,96569,96614,96648,96706,96696,96720,96985,97264,97297,97202,97447,97515,97515,97584,97779,97875,97910,98219,98252,98432,98392,98587,98476,98690,98773,98702,98805,98866,98883,98939,98823,98899,98939,98957,98990,99141,99115,99188,99222,99292,99246,99248,99255,99253,99328,99398,99342,99351,99364,99467,99438,99392,99538,99450,99512,99442,99462,99437,99600
12,68149,66436,67662,69836,70227,69601,71593,74458,74301,72998,74401,74798,75679,74279,75085,73151,76388,75543,75248,76157,78701,78655,77016,78527,77135,78085,80312,80380,78811,80015,80735,81341,83001,82129,83180,81911,85204,84894,85654,86208,87004,86912,84150,86058,85385,87707,89266,90009,90130,90439,90747,90681,90474,90968,91272,91781,91545,92099,92058,92007,92206,92205,92942,92944,92000,93042,93443,93337,93051,93398,93735,93652,94268,94700,95229,95261,95506,95558,95913,96008,96059,96261,96517,96567,96607,96659,96654,96681,96944,97210,97259,97158,97398,97463,97479,97548,97736,97841,97867,98192,98223,98390,98348,98552,98447,98661,98753,98672,98781,98828,98856,98924,98802,98875,98919,98927,98968,99124,99090,99160,99210,99272,99227,99235,99242,99241,99318,99385,99328,99338,99361,99460,99424,99382,99529,99441,99506,99435,99457,99429,99593
13,67932,66155,67414,69587,70024,69404,71342,74238,74049,72810,74206,74597,75490,74049,74869,72931,76196,75323,75028,75954,78515,78489,76863,78347,76925,77920,80166,80192,78614,79867,80577,81175,82855,81986,83018,81756,85034,84723,85505,86052,86833,86761,83891,85918,85192,87533,89149,89880,90007,90304,90629,90567,90326,90807,91136,91654,91426,91957,91923,91911,92088,92097,92829,92822,91881,92947,93345,93245,92945,93285,93642,93565,94197,94631,95175,95199,95436,95503,95848,95959,96011,96212,96462,96518,96556,96616,96607,96634,96906,97161,97220,97110,97358,97399,97433,97509,97690,97802,97827,98156,98204,98354,98309,98519,98428,98629,98730,98641,98756,98799,98830,98907,98770,98840,98897,98903,98944,99107,99067,99135,99194,99255,99204,99225,99225,99226,99307,99370,99313,99327,99347,99449,99411,99370,99515,99432,99497,99427,99451,99417,99583
14,67708,65887,67157,69348,69800,69177,71131,74014,73768,72614,73980,74393,75300,73830,74682,72695,75980,75104,74824,75756,78292,78317,76722,78180,76724,77753,80003,80002,78426,79709,80402,81016,82712,81806,82843,81604,84856,84529,85344,85883,86659,86603,83592,85761,85018,87336,89015,89729,89871,90151,90489,90437,90164,90632,90999,91524,91300,91833,91770,91803,91965,91975,92713,92698,91760,92824,93247,93134,92827,93179,93551,93479,94118,94555,95110,95135,95368,95444,95790,95899,95928,96157,96409,96460,96507,96573,96556,96583,96858,97116,97175,97065,97310,97339,97386,97447,97644,97750,97790,98108,98171,98310,98264,98478,98397,98590,98689,98598,98728,98761,98792,98887,98733,98801,98877,98874,98920,99088,99035,99113,99173,99240,99176,99204,99201,99205,99291,99349,99299,99311,99324,99438,99400,99355,99504,99422,99484,99416,99444,99405,99571
15,67451,65615,66897,69108,69535,68942,70900,73772,73511,72374,73727,74197,75058,73598,74467,72459,75755,74869,74584,75547,78053,78110,76530,77978,76548,77536,79812,79803,78215,79490,80208,80839,82557,81608,82657,81398,84644,84327,85164,85700,86477,86394,83225,85555,84818,87124,88864,89556,89719,89974,90314,90265,90007,90467,90851,91360,91162,91694,91600,91684,91816,91835,92597,92565,91637,92669,93111,93019,92687,93058,93462,93375,94030,94443,95038,95061,95310,95365,95731,95841,95839,96087,96353,96394,96460,96526,96493,96520,96801,97071,97120,97015,97253,97283,97333,97374,97578,97686,97728,98045,98117,98256,98206,98429,98360,98546,98644,98552,98683,98716,98749,98850,98694,98763,98847,98841,98883,99071,99001,99071,99153,99214,99136,99155,99172,99173,99270,99323,99281,99289,99301,99418,99379,99344,99493,99410,99467,99401,99435,99391,99557
16,67149,65316,66628,68814,69261,68679,70634,73506,73225,72096,73461,73982,74771,73355,74190,72201,75488,74627,74310,75304,77772,77870,76303,77742,76328,77275,79571,79583,77981,79221,79986,80597,82359,81390,82435,81148,84401,84091,84924,85493,86237,86140,82736,85285,84569,86894,88686,89351,89558,89802,90122,90069,89820,90268,90664,91144,90977,91532,91421,91527,91637,91674,92452,92422,91488,92494,92949,92883,92523,92917,93346,93254,93931,94330,94949,94978,95235,95283,95661,95764,95761,96012,96286,96320,96389,96454,96414,96442,96733,97007,97044,96947,97195,97219,97250,97292,97496,97618,97647,97961,98053,98194,98142,98381,98310,98484,98588,98499,98630,98659,98695,98792,98645,98717,98801,98801,98834,99028,98969,99022,99115,99169,99089,99114,99147,99130,99244,99298,99247,99266,99278,99388,99344,99328,99469,99394,99446,99375,99412,99366,99545
17,66834,64969,66299,68491,68951,68360,70350,73194,72875,71762,73160,73699,74465,73071,73854,71881,75180,74330,74005,75027,77447,77573,76036,77495,76030,76981,79282,79320,77693,78940,79708,80283,82062,81120,82170,80852,84131,83794,84632,85225,85928,85843,82116,84998,84288,86618,88433,89136,89354,89597,89924,89817,89585,90032,90433,90925,90746,91348,91239,91322,91436,91472,92265,92255,91293,92302,92774,92711,92348,92746,93194,93104,93814,94227,94837,94876,95126,95201,95564,95665,95671,95905,96197,96242,96292,96351,96318,96361,96652,96923,96949,96864,97132,97136,97158,97182,97409,97533,97567,97871,97974,98119,98071,98313,98234,98396,98505,98415,98570,98579,98615,98714,98580,98655,98725,98739,98770,98959,98915,98954,99068,99119,99039,99072,99106,99078,99209,99261,99196,99225,99247,99353,99308,99294,99429,99365,99417,99346,99381,99339,99530
18,66425,64553,65914,68117,68570,67979,70006,72807,72495,71361,72810,73344,74102,72738,73458,71529,74852,73995,73683,74693,77066,77187,75684,77207,75681,76661,78959,78982,77327,78582,79378,79943,81685,80802,81866,80495,83832,83446,84318,84930,85596,85523,81353,84677,83957,86311,88151,88888,89122,89342,89660,89545,89324,89779,90201,90686,90491,91114,91016,91081,91207,91199,92027,92060,91070,92100,92563,92537,92133,92533,93010,92926,93677,94105,94722,94746,94977,95091,95422,95552,95546,95759,96089,96129,96176,96224,96187,96255,96552,96823,96840,96754,97035,97039,97043,97048,97286,97413,97435,97749,97853,98013,97979,98202,98115,98292,98403,98289,98459,98474,98494,98617,98491,98553,98611,98642,98692,98877,98834,98860,99002,99049,98977,99010,99040,99018,99165,99196,99141,99168,99196,99309,99265,99235,99385,99325,99368,99313,99347,99309,99507
19,65874,64108,65480,67653,68159,67558,69604,72380,72065,70897,72407,72941,73689,72359,73026,71143,74474,73625,73330,74293,76669,76773,75297,76840,75305,76300,78599,78584,76933,78141,79016,79579,81300,80405,81541,80084,83501,83054,83967,84600,85254,85160,80393,84272,83564,85980,87877,88619,88868,89053,89344,89255,89016,89476,89939,90403,90165,90852,90753,90799,90955,90919,91721,91833,90815,91875,92343,92351,91901,92297,92818,92736,93531,93980,94592,94585,94828,94954,95264,95403,95400,95603,95931,95951,96048,96059,96026,96116,96411,96715,96702,96607,96893,96912,96874,96896,97111,97257,97256,97595,97701,97857,97840,98057,97954,98158,98259,98141,98317,98331,98350,98490,98364,98418,98466,98507,98595,98779,98748,98754,98904,98959,98891,98944,98961,98941,99087,99109,99070,99107,99128,99249,99211,99169,99344,99278,99316,99267,99307,99262,99478
20,65341,63646,65035,67162,67694,67124,69157,71936,71604,70435,71962,72525,73282,71953,72607,70712,74070,73223,72918,73879,76261,76342,74909,76415,74871,75905,78210,78183,76530,77723,78625,79167,80894,79963,81158,79678,83125,82655,83611,84233,84890,84719,79256,83809,83141,85612,87563,88323,88573,88721,89033,88948,88685,89125,89597,90107,89815,90570,90460,90478,90675,90662,91416,91581,90544,91633,92106,92109,91643,92058,92610,92530,93372,93834,94453,94425,94689,94808,95111,95248,95237,95432,95739,95759,95902,95861,95865,95972,96250,96601,96568,96445,96746,96740,96681,96707,96915,97090,97081,97423,97534,97680,97680,97895,97767,97985,98088,97971,98195,98197,98217,98349,98219,98273,98318,98350,98463,98651,98640,98631,98814,98873,98793,98863,98860,98849,98994,99007,98985,99041,99064,99179,99151,99117,99305,99224,99266,99227,99268,99211,99446
21,64854,63161,64573,66657,67196,66665,68641,71479,71084,69973,71472,72110,72839,71507,72158,70280,73681,72806,72490,73471,75840,75932,74503,75973,74401,75477,77816,77818,76118,77346,78225,78721,80501,79512,80733,79273,82706,82272,83256,83879,84544,84274,78012,83378,82729,85255,87204,87989,88250,88403,88724,88631,88337,88790,89238,89755,89479,90258,90150,90153,90373,90401,91153,91332,90235,91378,91843,91828,91377,91798,92384,92287,93193,93663,94313,94263,94523,94646,94955,95061,95060,95264,95563,95582,95731,95685,95707,95823,96098,96469,96451,96297,96609,96556,96498,96512,96711,96929,96901,97221,97361,97504,97520,97721,97596,97801,97912,97783,98043,98080,98072,98196,98069,98128,98175,98181,98306,98498,98501,98519,98723,98759,98694,98774,98749,98750,98901,98916,98904,98959,99015,99112,99092,99060,99267,99174,99218,99184,99231,99156,99413
22,64361,62679,64086,66152,66694,66176,68139,71003,70567,69464,70986,71672,72351,71025,71671,69850,73280,72375,72060,73048,75429,75558,74112,75563,73960,75017,77416,77437,75708,76930,77794,78274,80107,79081,80311,78856,82294,81881,82889,83510,84223,83859,76699,83004,82349,84941,86843,87641,87933,88093,88389,88286,87972,88445,88894,89376,89115,89935,89825,89834,90076,90138,90884,91076,89925,91113,91570,91518,91080,91509,92163,92030,93023,93506,94144,94089,94361,94472,94793,94867,94879,95083,95382,95425,95555,95515,95536,95663,95948,96345,96311,96142,96480,96408,96326,96349,96529,96768,96720,97044,97191,97326,97347,97547,97445,97624,97728,97592,97880,97948,97915,98032,97911,97977,98036,98017,98141,98355,98332,98395,98603,98637,98585,98675,98638,98655,98807,98838,98832,98868,98959,99040,99040,98993,99223,99118,99180,99133,99195,99102,99374
23,63841,62199,63578,65664,66168,65671,67669,70519,70075,68957,70528,71163,71859,70514,71174,69377,72828,71937,71612,72594,75000,75158,73720,75137,73552,74610,76989,77013,75270,76508,77356,77823,79692,78683,79903,78451,81908,81453,82511,83142,83887,83465,75286,82587,81980,84597,86525,87279,87634,87759,88064,87927,87601,88061,88548,89041,88764,89613,89500,89494,89770,89847,90617,90790,89675,90835,91296,91230,90774,91215,91912,91779,92857,93331,93951,93925,94193,94309,94619,94700,94699,94900,95197,95290,95374,95334,95383,95518,95798,96235,96158,95980,96357,96281,96156,96197,96368,96625,96546,96895,97032,97143,97171,97388,97273,97435,97555,97412,97733,97804,97756,97873,97753,97816,97889,97851,97977,98211,98168,98244,98464,98518,98468,98574,98542,98570,98724,98752,98765,98787,98893,98958,98981,98928,99171,99053,99141,99093,99159,99055,99334
