"Age","1876","1877","1878","1879","1880","1881","1882","1883","1884","1885","1886","1887","1888","1889","1890","1891","1892","1893","1894","1895","1896","1897","1898","1899","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
24,63257,61687,63077,65177,65661,65206,67136,70035,69576,68477,70046,70638,71358,70004,70617,68855,72368,71497,71185,72134,74540,74749,73284,74680,73136,74239,76551,76580,74833,76083,76958,77391,79259,78276,79488,78000,81504,80998,82109,82767,83543,83064,73804,82128,81559,84216,86211,86923,87295,87426,87770,87560,87250,87654,88206,88687,88407,89287,89173,89162,89463,89560,90356,90496,89415,90531,91046,90987,90510,90914,91654,91497,92676,93143,93772,93750,94003,94156,94435,94532,94535,94724,95025,95149,95211,95171,95251,95384,95664,96115,96028,95849,96223,96146,96018,96057,96228,96483,96384,96759,96895,96982,97017,97233,97104,97241,97396,97256,97578,97652,97611,97713,97608,97653,97719,97675,97815,98053,98021,98113,98318,98387,98347,98469,98457,98488,98651,98665,98694,98715,98822,98884,98917,98860,99126,99005,99097,99053,99124,99008,99282
25,62626,61158,62572,64664,65150,64724,66591,69540,69067,67950,69535,70156,70820,69491,70037,68360,71880,71029,70746,71694,74054,74345,72843,74233,72699,73836,76138,76126,74434,75609,76566,76998,78823,77853,79061,77532,81081,80540,81699,82366,83217,82689,72296,81670,81087,83854,85884,86571,86948,87075,87463,87202,86921,87271,87848,88320,88058,88974,88828,88843,89141,89296,90065,90206,89118,90253,90791,90711,90231,90606,91431,91243,92476,92962,93592,93566,93828,94010,94282,94365,94368,94528,94864,94997,95070,95020,95115,95244,95532,95986,95911,95720,96086,96011,95898,95918,96115,96331,96247,96625,96768,96828,96888,97084,96961,97080,97251,97091,97433,97499,97472,97564,97462,97484,97565,97498,97655,97887,97860,97993,98183,98281,98234,98362,98356,98404,98583,98592,98610,98658,98746,98821,98847,98799,99083,98958,99051,99003,99078,98957,99224
26,62021,60623,62049,64096,64607,64214,66055,69058,68530,67393,69003,69658,70290,68976,69494,67882,71425,70529,70277,71253,73563,73909,72415,73797,72262,73406,75711,75668,74026,75136,76136,76606,78385,77429,78667,77077,80660,80106,81268,81957,82875,82342,70748,81249,80645,83497,85564,86229,86642,86742,87125,86854,86578,86923,87494,87979,87733,88676,88488,88523,88811,89037,89756,89924,88818,89986,90489,90398,89946,90322,91182,91014,92284,92771,93414,93391,93648,93856,94155,94203,94205,94341,94709,94836,94929,94866,94972,95107,95395,95851,95788,95596,95959,95876,95774,95784,95991,96209,96133,96490,96632,96674,96753,96942,96830,96956,97117,96933,97297,97343,97334,97431,97310,97303,97424,97330,97503,97724,97704,97865,98060,98174,98125,98266,98250,98323,98511,98527,98520,98605,98663,98760,98777,98736,99040,98910,99011,98957,99027,98907,99176
27,61411,60087,61500,63541,64090,63694,65535,68604,67962,66868,68457,69151,69798,68481,68916,67369,70977,69997,69783,70804,73118,73480,71980,73395,71804,72971,75270,75224,73588,74661,75698,76165,77919,77040,78256,76653,80260,79703,80846,81592,82499,81933,69187,80813,80248,83124,85227,85886,86314,86420,86750,86528,86238,86580,87176,87646,87411,88367,88181,88224,88501,88764,89462,89629,88557,89681,90212,90113,89675,90091,90898,90779,92082,92576,93235,93216,93462,93696,94008,94058,94038,94190,94553,94681,94793,94715,94828,94973,95261,95724,95667,95482,95850,95757,95659,95670,95867,96097,96024,96375,96498,96545,96616,96803,96696,96836,96977,96797,97150,97196,97204,97293,97162,97123,97258,97162,97342,97581,97537,97740,97937,98076,98010,98157,98136,98251,98412,98456,98435,98539,98587,98689,98713,98668,98989,98874,98973,98907,98980,98857,99125
28,60805,59538,60889,62976,63611,63100,65019,68150,67385,66299,67888,68638,69309,67971,68325,66860,70488,69481,69251,70323,72715,73056,71523,72959,71365,72528,74803,74773,73126,74182,75255,75711,77446,76637,77807,76232,79856,79257,80461,81251,82131,81497,67540,80341,79838,82806,84889,85520,85933,86094,86404,86175,85910,86217,86823,87314,87111,88015,87874,87936,88221,88480,89191,89330,88278,89407,89957,89871,89406,89854,90642,90529,91880,92412,93048,93042,93290,93538,93824,93911,93882,94055,94394,94535,94664,94583,94694,94835,95119,95604,95534,95360,95735,95629,95546,95564,95748,95983,95920,96270,96382,96442,96492,96663,96558,96712,96836,96671,97009,97073,97072,97142,97003,96962,97069,96993,97185,97452,97369,97620,97823,97989,97903,98047,98034,98173,98306,98388,98358,98468,98524,98612,98653,98610,98931,98831,98933,98848,98935,98807,99077
29,60249,58960,60303,62359,63100,62516,64476,67680,66842,65724,67295,68077,68781,67441,67766,66368,70007,68978,68737,69824,72278,72566,71070,72503,70912,72091,74321,74291,72665,73722,74813,75280,76973,76187,77396,75801,79406,78782,80083,80872,81781,81085,65893,79893,79390,82525,84565,85211,85575,85778,86069,85779,85587,85857,86460,86994,86795,87667,87557,87640,87993,88185,88925,89036,87971,89176,89701,89626,89137,89589,90414,90275,91682,92255,92881,92856,93116,93391,93645,93768,93738,93905,94235,94395,94537,94460,94567,94706,94979,95467,95384,95239,95619,95496,95422,95467,95621,95861,95821,96158,96275,96339,96374,96532,96438,96589,96706,96556,96883,96969,96964,97017,96847,96819,96901,96842,97039,97319,97225,97499,97716,97889,97804,97950,97940,98095,98221,98306,98294,98409,98456,98549,98601,98553,98884,98779,98886,98791,98891,98761,99035
30,59653,58374,59771,61723,62500,61964,63908,67159,66266,65202,66680,67512,68202,66921,67199,65820,69511,68385,68215,69338,71792,72064,70629,72067,70438,71634,73866,73814,72187,73244,74378,74849,76513,75724,76995,75384,78945,78358,79671,80495,81419,80687,64411,79427,78949,82204,84231,84880,85243,85419,85676,85433,85260,85491,86106,86646,86449,87336,87254,87316,87744,87877,88651,88715,87687,88939,89451,89386,88847,89308,90178,90020,91463,92067,92713,92640,92944,93243,93490,93605,93573,93754,94070,94269,94409,94336,94430,94571,94847,95326,95229,95126,95509,95367,95286,95374,95502,95737,95711,96040,96162,96222,96260,96405,96331,96462,96593,96442,96752,96860,96863,96910,96703,96667,96741,96688,96882,97161,97081,97377,97599,97780,97697,97857,97845,98010,98135,98219,98233,98357,98386,98496,98549,98504,98837,98721,98829,98742,98845,98721,98999
31,58984,57777,59242,61169,61872,61388,63324,66580,65692,64652,66096,66994,67589,66348,66625,65265,69019,67821,67644,68850,71304,71569,70182,71605,69990,71138,73404,73364,71711,72758,73935,74394,76064,75259,76568,74947,78500,77949,79248,80105,81055,80261,62990,78951,78503,81836,83889,84488,84892,85050,85272,85100,84890,85113,85709,86287,86110,87008,86935,86975,87447,87573,88382,88413,87418,88664,89197,89134,88583,89018,89909,89758,91250,91884,92521,92402,92788,93066,93340,93416,93403,93596,93897,94133,94259,94195,94268,94418,94714,95211,95085,94987,95391,95247,95138,95265,95397,95628,95606,95927,96053,96108,96144,96276,96222,96336,96478,96323,96636,96748,96742,96775,96575,96502,96572,96520,96716,96975,96936,97247,97473,97665,97597,97765,97750,97907,98046,98152,98156,98299,98324,98430,98490,98449,98783,98665,98774,98692,98802,98677,98954
32,58325,57175,58657,60660,61269,60795,62721,65981,65122,64038,65506,66463,66962,65753,66066,64730,68506,67296,67088,68300,70827,71099,69689,71077,69477,70642,72929,72918,71224,72236,73461,73913,75641,74806,76131,74495,78066,77507,78842,79677,80702,79829,61617,78459,77990,81462,83497,84129,84542,84674,84913,84746,84500,84732,85318,85916,85774,86699,86596,86638,87151,87267,88085,88156,87179,88401,88949,88833,88324,88751,89641,89518,91046,91687,92316,92173,92633,92870,93185,93242,93235,93441,93734,93997,94073,94040,94091,94278,94574,95096,94952,94825,95281,95127,95006,95147,95277,95518,95509,95815,95959,95979,96030,96151,96112,96211,96350,96199,96522,96643,96629,96624,96448,96357,96412,96350,96558,96810,96797,97099,97345,97569,97493,97667,97649,97808,97951,98072,98067,98231,98265,98355,98421,98386,98731,98611,98729,98649,98757,98623,98904
33,57688,56583,57995,60056,60673,60181,62047,65406,64508,63415,64872,65894,66380,65210,65456,64111,67939,66730,66544,67690,70321,70597,69154,70504,68918,70137,72411,72438,70750,71717,72932,73410,75191,74335,75654,74043,77601,77031,78431,79273,80313,79404,60313,77926,77458,81117,83099,83764,84191,84303,84567,84383,84148,84339,84927,85543,85395,86392,86273,86299,86837,86961,87783,87870,86910,88184,88675,88532,88033,88495,89402,89279,90829,91472,92122,91962,92461,92682,93019,93075,93088,93288,93573,93845,93893,93878,93928,94127,94419,94946,94819,94679,95162,94979,94870,95031,95144,95408,95402,95705,95845,95844,95917,96011,95997,96096,96221,96083,96406,96544,96522,96494,96318,96211,96261,96178,96381,96664,96634,96934,97208,97452,97378,97573,97547,97723,97864,97981,97995,98159,98189,98303,98352,98324,98678,98556,98683,98599,98698,98570,98865
34,57057,55983,57348,59348,60072,59583,61392,64799,63860,62793,64192,65325,65802,64667,64823,63477,67335,66103,65934,67064,69784,70002,68615,69926,68379,69612,71885,71936,70292,71199,72430,72881,74658,73842,75156,73575,77061,76509,77960,78897,79910,78950,59152,77416,76919,80723,82702,83406,83810,83933,84219,84027,83798,83941,84538,85135,84998,86032,85952,85934,86460,86644,87496,87548,86580,87932,88391,88250,87753,88216,89142,89024,90610,91250,91937,91752,92270,92499,92839,92888,92928,93129,93396,93684,93725,93714,93783,93946,94257,94780,94684,94530,95029,94830,94720,94910,95009,95302,95279,95593,95720,95723,95785,95859,95877,95978,96104,95981,96287,96437,96410,96367,96181,96050,96122,96005,96203,96500,96463,96777,97060,97309,97265,97482,97452,97634,97779,97896,97938,98080,98106,98256,98281,98259,98618,98504,98622,98531,98635,98519,98821
35,56422,55325,56728,58647,59400,58945,60740,64122,63212,62153,63468,64695,65134,64046,64208,62890,66730,65455,65318,66447,69235,69373,68064,69349,67801,69026,71370,71441,69765,70656,71927,72307,74107,73306,74653,73085,76500,76001,77432,78453,79471,78503,58082,76959,76375,80283,82230,83046,83391,83555,83876,83671,83441,83521,84173,84707,84591,85605,85613,85529,86078,86303,87180,87199,86258,87636,88081,87967,87471,87946,88860,88743,90398,91028,91733,91547,92078,92301,92659,92699,92757,92974,93192,93516,93548,93536,93619,93765,94101,94621,94556,94373,94888,94659,94576,94790,94852,95186,95154,95484,95595,95595,95652,95721,95731,95846,95973,95864,96175,96316,96303,96226,96036,95896,95975,95838,96047,96337,96302,96631,96920,97185,97160,97386,97360,97535,97683,97809,97858,97981,98025,98188,98203,98182,98566,98442,98554,98465,98579,98472,98768
36,55716,54656,56089,57952,58681,58215,59988,63438,62616,61491,62774,63997,64426,63383,63545,62298,66127,64850,64699,65816,68637,68756,67500,68736,67201,68417,70857,70919,69213,70111,71383,71699,73541,72708,74113,72558,75940,75491,76884,77954,78949,78066,57005,76512,75853,79812,81744,82647,82922,83165,83511,83300,83074,83122,83761,84263,84179,85212,85237,85140,85705,85953,86829,86860,85971,87354,87759,87696,87177,87690,88585,88455,90147,90816,91505,91329,91868,92071,92474,92529,92601,92794,92998,93331,93384,93374,93450,93583,93925,94472,94418,94222,94746,94475,94439,94650,94701,95059,95018,95368,95453,95460,95513,95599,95567,95720,95841,95717,96053,96180,96177,96073,95887,95755,95800,95679,95892,96195,96134,96484,96778,97063,97066,97285,97258,97415,97587,97710,97747,97882,97939,98111,98122,98088,98509,98367,98495,98411,98532,98415,98712
37,55001,53984,55445,57267,57978,57500,59247,62781,62005,60882,62064,63289,63757,62681,62823,61656,65540,64246,64043,65219,67937,68143,66900,68123,66578,67800,70344,70360,68674,69540,70841,71110,72957,72094,73545,71973,75324,74897,76342,77441,78405,77612,55999,76037,75318,79343,81290,82223,82425,82753,83089,82874,82649,82668,83358,83800,83780,84819,84824,84744,85315,85601,86468,86538,85673,87061,87471,87419,86885,87412,88303,88181,89861,90570,91253,91099,91633,91834,92260,92348,92406,92582,92819,93131,93209,93213,93269,93375,93726,94322,94243,94056,94579,94303,94285,94481,94556,94915,94869,95218,95314,95338,95344,95461,95419,95593,95725,95567,95897,96051,96028,95907,95732,95619,95629,95527,95729,96052,95959,96319,96634,96942,96966,97183,97148,97296,97492,97599,97631,97781,97851,98040,98033,97999,98432,98289,98428,98360,98468,98345,98656
38,54260,53353,54810,56587,57249,56832,58566,62085,61350,60230,61333,62573,63051,61935,62097,60955,64896,63634,63392,64602,67207,67458,66241,67484,65926,67155,69746,69775,68087,68902,70259,70525,72329,71509,72992,71386,74675,74270,75818,76902,77865,77092,55081,75551,74801,78910,80839,81729,81925,82326,82631,82384,82216,82149,82922,83365,83322,84401,84413,84333,84916,85198,86104,86178,85330,86754,87191,87129,86562,87109,88017,87905,89587,90306,90976,90829,91394,91617,92021,92146,92194,92363,92610,92893,93010,93025,93044,93162,93506,94139,94064,93871,94382,94121,94110,94292,94375,94750,94717,95059,95166,95193,95154,95304,95266,95455,95580,95414,95717,95909,95868,95746,95585,95473,95493,95388,95540,95890,95791,96137,96484,96818,96852,97073,97018,97194,97380,97493,97529,97669,97764,97957,97941,97912,98351,98217,98343,98289,98395,98281,98597
39,53494,52770,54196,55813,56525,56150,57861,61340,60654,59488,60606,61885,62312,61235,61316,60279,64220,62957,62731,63939,66510,66750,65510,66769,65258,66482,69085,69176,67479,68206,69625,69929,71666,70902,72400,70752,74022,73685,75266,76348,77281,76506,54214,75015,74273,78445,80379,81215,81444,81874,82110,81910,81792,81621,82447,82917,82820,83944,84027,83919,84511,84780,85741,85766,84968,86399,86873,86831,86210,86799,87722,87622,89298,90030,90712,90525,91156,91381,91794,91922,91964,92127,92384,92656,92807,92827,92786,92930,93302,93921,93865,93663,94180,93894,93904,94075,94187,94563,94560,94880,95000,95011,94973,95141,95092,95299,95422,95253,95542,95732,95701,95599,95438,95316,95345,95252,95352,95724,95633,95965,96307,96676,96713,96962,96885,97078,97242,97373,97417,97564,97658,97860,97858,97819,98268,98140,98261,98210,98311,98210,98528
40,52776,52132,53570,55010,55782,55447,57120,60584,59923,58695,59879,61198,61548,60489,60487,59616,63577,62248,61984,63326,65796,66070,64767,66069,64570,65799,68431,68526,66877,67469,68916,69288,70974,70264,71709,70082,73336,73083,74662,75774,76665,75951,53344,74424,73677,77923,79888,80744,80961,81400,81559,81393,81341,81049,81976,82459,82296,83455,83610,83447,84083,84393,85356,85350,84596,86005,86519,86522,85856,86510,87392,87299,88990,89714,90464,90230,90886,91133,91581,91674,91695,91879,92140,92426,92567,92583,92519,92658,93065,93679,93640,93426,93969,93650,93660,93818,94002,94369,94389,94678,94824,94820,94795,94966,94904,95107,95245,95079,95385,95570,95527,95419,95284,95158,95161,95088,95170,95540,95441,95791,96140,96522,96558,96825,96750,96944,97090,97251,97290,97458,97546,97753,97775,97721,98182,98050,98166,98125,98213,98136,98454
41,52018,51459,52903,54300,55024,54715,56282,59800,59195,57832,59096,60384,60776,59765,59646,58910,62888,61494,61179,62654,65104,65406,64061,65316,63812,65092,67730,67805,66238,66738,68207,68579,70233,69614,70968,69435,72618,72408,74031,75173,76066,75351,52526,73857,73066,77385,79368,80263,80398,80833,81019,80836,80865,80488,81441,81986,81738,82997,83123,82938,83610,83987,84927,84936,84208,85630,86161,86183,85481,86165,87042,86939,88664,89376,90171,89924,90578,90834,91304,91403,91403,91615,91855,92185,92325,92306,92259,92391,92784,93431,93390,93178,93749,93409,93416,93573,93784,94161,94182,94463,94616,94619,94591,94792,94686,94923,95033,94888,95223,95395,95341,95206,95116,94992,94959,94868,94986,95356,95210,95617,95955,96363,96380,96668,96601,96795,96938,97138,97160,97347,97428,97624,97671,97614,98073,97947,98059,98017,98128,98058,98374
42,51220,50759,52178,53607,54316,53952,55403,58990,58411,56964,58244,59498,60008,59092,58782,58185,62124,60699,60373,61907,64391,64704,63362,64489,63015,64317,66992,67046,65516,66011,67525,67857,69510,68851,70247,68758,71893,71710,73418,74574,75465,74643,51741,73235,72433,76790,78796,79749,79754,80186,80439,80247,80329,79914,80899,81453,81149,82457,82592,82419,83092,83522,84468,84489,83787,85234,85745,85762,85078,85734,86653,86578,88315,89027,89819,89612,90247,90474,90995,91102,91106,91321,91547,91934,92067,92021,91978,92091,92513,93164,93108,92933,93501,93148,93156,93320,93544,93935,93930,94223,94395,94397,94364,94613,94469,94731,94817,94693,95028,95196,95152,95011,94919,94803,94762,94606,94792,95169,95008,95415,95754,96200,96188,96512,96438,96629,96785,97010,97020,97220,97303,97494,97556,97498,97932,97838,97954,97905,98034,97968,98270
43,50455,49998,51419,52860,53583,53171,54584,58176,57592,56088,57391,58605,59138,58359,57975,57450,61307,59872,59505,61172,63569,63976,62650,63675,62253,63583,66250,66242,64752,65264,66754,67129,68778,68010,69505,68034,71147,70996,72755,73921,74788,73915,50896,72527,71764,76109,78161,79184,79102,79527,79856,79609,79762,79236,80353,80848,80539,81873,82018,81865,82551,83003,84023,83955,83316,84766,85282,85298,84619,85309,86255,86187,87918,88693,89471,89271,89913,90134,90657,90789,90803,90988,91216,91643,91740,91732,91654,91756,92180,92867,92810,92683,93217,92872,92871,93033,93259,93670,93673,93948,94164,94139,94126,94384,94232,94496,94600,94476,94792,94983,94940,94815,94703,94581,94563,94351,94561,94944,94827,95195,95575,96015,96003,96336,96250,96442,96628,96851,96863,97058,97180,97368,97433,97375,97784,97722,97837,97796,97910,97856,98165
44,49623,49235,50704,52065,52828,52410,53795,57364,56754,55232,56533,57719,58246,57598,57062,56685,60476,58944,58603,60353,62711,63154,61876,62890,61453,62883,65465,65357,63969,64446,65943,66334,67975,67170,68740,67291,70353,70323,71991,73193,74102,73126,50072,71806,71017,75401,77486,78533,78434,78866,79290,78948,79152,78549,79754,80192,79924,81285,81404,81255,82006,82442,83565,83383,82767,84254,84815,84797,84142,84874,85844,85758,87502,88310,89087,88885,89570,89779,90272,90448,90455,90654,90851,91290,91382,91422,91315,91404,91819,92533,92498,92374,92900,92588,92568,92734,92914,93370,93409,93655,93883,93854,93866,94111,93949,94258,94331,94232,94541,94755,94700,94595,94460,94344,94337,94103,94299,94706,94600,94969,95376,95789,95806,96132,96052,96263,96463,96669,96692,96874,97029,97226,97289,97233,97644,97599,97710,97668,97783,97731,98062
45,48763,48506,49974,51239,52040,51638,52979,56528,55920,54371,55634,56824,57388,56808,56059,55846,59637,57988,57734,59408,61770,62248,61102,62054,60555,62120,64634,64451,63140,63540,65137,65499,67044,66289,67984,66458,69543,69640,71229,72385,73423,72299,49326,71043,70247,74741,76801,77817,77708,78172,78679,78280,78461,77822,79084,79531,79262,80610,80777,80616,81395,81834,83016,82841,82187,83696,84327,84262,83655,84373,85381,85275,87036,87852,88662,88464,89149,89387,89867,90058,90072,90310,90474,90915,91018,91086,90940,90999,91457,92145,92152,92001,92571,92261,92230,92404,92549,93055,93108,93351,93581,93553,93554,93825,93652,93989,94033,93979,94274,94506,94441,94363,94198,94114,94089,93837,94019,94467,94346,94716,95152,95555,95590,95930,95855,96046,96280,96463,96484,96674,96860,97078,97130,97062,97497,97452,97569,97516,97668,97614,97948
46,47911,47729,49208,50439,51238,50750,52120,55713,55110,53501,54695,55946,56466,55974,55089,54991,58793,57046,56852,58434,60754,61328,60297,61158,59655,61275,63778,63515,62279,62625,64277,64633,66089,65418,67182,65571,68694,68861,70414,71551,72660,71474,48570,70235,69457,74039,76082,77046,76889,77406,77953,77628,77740,77009,78354,78838,78582,79926,80133,79928,80725,81174,82407,82253,81623,83101,83784,83739,83118,83853,84873,84716,86488,87378,88191,87990,88718,88973,89433,89605,89643,89872,90075,90515,90634,90719,90507,90565,91073,91758,91761,91637,92216,91882,91839,92030,92216,92732,92769,92967,93248,93209,93200,93507,93326,93671,93719,93705,93968,94215,94176,94112,93929,93881,93807,93544,93754,94208,94077,94462,94912,95309,95374,95720,95650,95789,96069,96259,96252,96476,96673,96925,96949,96888,97330,97274,97418,97345,97544,97464,97824
47,46979,46920,48418,49622,50450,49842,51255,54885,54298,52674,53774,55039,55517,55049,54127,54145,57894,56101,55981,57502,59760,60409,59356,60213,58835,60397,62924,62556,61335,61741,63375,63733,65198,64569,66283,64728,67835,67998,69531,70736,71836,70598,47787,69410,68607,73189,75321,76249,76052,76554,77150,76840,76967,76232,77548,78042,77872,79221,79445,79151,80021,80531,81719,81603,81023,82469,83138,83146,82522,83289,84314,84139,85876,86858,87652,87492,88266,88458,88968,89109,89161,89391,89619,90079,90172,90288,90048,90062,90659,91351,91351,91261,91801,91443,91432,91602,91854,92340,92404,92545,92851,92819,92840,93157,92988,93310,93362,93352,93662,93883,93888,93823,93616,93597,93505,93223,93486,93923,93779,94178,94653,95021,95135,95455,95412,95543,95817,96048,96018,96256,96447,96735,96749,96707,97143,97098,97255,97171,97394,97301,97662
48,46034,46083,47573,48732,49614,48992,50375,53966,53463,51823,52862,54068,54568,54052,53100,53241,56895,55146,55032,56580,58851,59487,58343,59152,57933,59509,62027,61640,60407,60811,62411,62839,64205,63706,65336,63817,66937,67025,68590,69853,70967,69658,46964,68579,67792,72300,74482,75384,75226,75683,76298,75945,76111,75427,76714,77197,77031,78438,78725,78377,79300,79881,80983,80897,80375,81789,82466,82519,81865,82638,83715,83520,85229,86269,87071,86918,87724,87872,88443,88614,88601,88900,89132,89597,89666,89816,89546,89545,90195,90872,90887,90830,91325,90938,91002,91149,91431,91872,92015,92110,92409,92394,92458,92777,92636,92920,92967,92941,93366,93540,93538,93501,93301,93238,93208,92874,93177,93600,93464,93851,94356,94708,94852,95161,95128,95284,95560,95818,95775,96001,96203,96508,96516,96507,96931,96893,97081,96979,97220,97143,97497
49,45056,45219,46710,47750,48732,48146,49472,52959,52552,50855,51887,53090,53597,53032,51996,52309,55872,54193,54036,55525,57937,58561,57308,58073,56923,58473,61020,60710,59559,59826,61355,61891,63140,62693,64375,62828,65942,65977,67619,68881,70064,68671,46155,67727,66910,71508,73581,74412,74322,74770,75410,75021,75194,74504,75802,76381,76161,77529,77966,77571,78573,79110,80245,80162,79660,81053,81825,81857,81157,81925,83072,82834,84561,85637,86465,86270,87158,87262,87892,88071,87999,88313,88626,89056,89136,89289,88983,89024,89672,90336,90364,90350,90777,90436,90481,90630,90958,91411,91576,91643,91914,91949,92016,92377,92259,92504,92524,92525,92979,93193,93164,93139,92981,92880,92881,92513,92836,93243,93112,93500,94035,94365,94534,94873,94816,94993,95272,95565,95537,95743,95981,96261,96265,96272,96707,96670,96897,96786,97030,96942,97346
50,44006,44369,45753,46697,47769,47285,48590,51899,51563,49810,50855,52072,52577,51957,50947,51372,54792,53165,53021,54415,56861,57616,56319,57006,55854,57309,59894,59673,58623,58906,60262,60830,62055,61513,63318,61805,64917,64932,66602,67847,69034,67670,45410,66861,65873,70688,72651,73437,73302,73758,74478,74044,74232,73444,74822,75496,75291,76553,77162,76611,77755,78247,79447,79372,78817,80273,81113,81156,80422,81166,82351,82115,83810,84999,85833,85578,86562,86616,87289,87441,87405,87637,88051,88456,88586,88703,88380,88438,89126,89803,89763,89799,90158,89907,89899,90062,90430,90904,91061,91175,91407,91450,91506,91900,91818,92049,92052,92087,92523,92770,92761,92733,92623,92514,92529,92141,92470,92874,92749,93121,93697,94000,94190,94575,94482,94681,94958,95277,95247,95470,95754,95971,95997,96022,96460,96434,96664,96597,96791,96704,97146
51,42944,43474,44680,45664,46728,46332,47609,50903,50539,48716,49826,50996,51463,50914,49859,50407,53632,52124,51945,53285,55699,56563,55325,55947,54708,56151,58698,58536,57553,57837,59175,59706,60890,60388,62160,60746,63865,63823,65506,66772,67858,66613,44599,65948,64813,69671,71661,72371,72190,72696,73417,73030,73255,72338,73820,74482,74290,75602,76246,75578,76857,77331,78585,78513,77935,79421,80292,80402,79610,80367,81573,81341,83001,84282,85108,84820,85908,85900,86560,86749,86752,86915,87400,87759,87985,88088,87745,87761,88562,89244,89083,89194,89473,89302,89322,89486,89835,90322,90477,90690,90902,90886,90939,91345,91297,91545,91515,91614,92074,92272,92290,92281,92215,92076,92138,91730,92056,92478,92365,92709,93324,93618,93818,94233,94133,94349,94629,94965,94924,95145,95457,95638,95712,95743,96186,96183,96395,96362,96525,96458,96912
52,41861,42518,43699,44669,45676,45275,46488,49869,49534,47659,48760,49854,50366,49930,48721,49374,52469,51015,50840,52057,54487,55422,54163,54872,53543,54978,57458,57367,56396,56643,58048,58617,59721,59294,60991,59597,62657,62671,64394,65632,66670,65487,43732,64946,63772,68580,70560,71261,71074,71618,72232,71989,72231,71231,72706,73344,73201,74517,75259,74524,75861,76366,77608,77542,77019,78507,79465,79554,78736,79476,80744,80483,82130,83405,84242,84021,85143,85094,85768,85970,85972,86145,86631,87034,87253,87383,87047,86992,87873,88609,88384,88549,88773,88598,88686,88871,89173,89692,89845,90109,90276,90284,90320,90774,90755,90978,90957,91082,91555,91734,91769,91768,91729,91597,91675,91270,91600,92019,91920,92270,92925,93206,93444,93838,93746,93968,94262,94584,94580,94783,95123,95321,95426,95424,95896,95913,96108,96079,96259,96210,96665
53,40754,41513,42715,43664,44615,44200,45370,48732,48511,46632,47734,48711,49279,48855,47636,48280,51321,49800,49692,50759,53223,54237,52962,53611,52348,53789,56258,56126,55069,55421,56893,57477,58472,58057,59795,58386,61358,61501,63163,64378,65436,64316,42805,63844,62629,67445,69473,70174,69974,70576,71037,70865,71122,70053,71551,72075,72028,73330,74203,73405,74695,75338,76510,76422,76031,77586,78577,78634,77828,78508,79851,79539,81223,82445,83334,83149,84282,84205,84926,85099,85112,85349,85815,86297,86430,86580,86286,86218,87068,87880,87639,87806,88032,87811,87935,88170,88473,88983,89165,89407,89554,89625,89663,90147,90171,90346,90391,90482,90960,91178,91224,91213,91210,91080,91153,90747,91101,91542,91437,91821,92471,92749,93030,93395,93285,93531,93866,94151,94185,94397,94781,94985,95104,95058,95565,95578,95794,95760,95968,95943,96377
54,39647,40504,41645,42656,43487,43152,44269,47584,47418,45455,46695,47653,48111,47642,46507,47190,50217,48577,48515,49557,52017,52966,51775,52307,51057,52591,55100,54763,53660,54037,55701,56209,57097,56745,58557,57153,60046,60259,61850,63146,64112,63050,41745,62638,61412,66240,68386,68993,68766,69401,69871,69647,69883,68829,70333,70796,70784,72099,73018,72228,73500,74225,75342,75302,74928,76614,77584,77618,76810,77497,78897,78571,80258,81387,82405,82205,83344,83232,83975,84175,84211,84511,84951,85421,85551,85675,85426,85391,86128,87055,86781,86953,87230,86987,87116,87354,87675,88254,88458,88604,88799,88882,88934,89413,89480,89619,89711,89810,90338,90608,90605,90605,90640,90535,90585,90214,90572,91046,90904,91317,91976,92245,92532,92933,92823,93050,93414,93675,93748,93976,94411,94597,94732,94634,95203,95202,95437,95416,95662,95646,96062
