"x"
"1994",5.42714285714286
"1995",5.48042857142857
"1996",5.33871428571429
"1997",4.90942857142857
"1998",4.445
"1999",3.84242857142857
"2000",3.75228571428571
"2001",3.48
"2002",3.23457142857143
"2003",2.95428571428571
"2004",2.88785714285714
"2005",2.73214285714286
"2006",2.71642857142857
"2007",2.59442857142857
"2008",2.57557142857143
"2009",2.41614285714286
"2010",2.273
"2011",2.05957142857143
"2012",1.85414285714286
"2013",1.58742857142857
"2014",1.198
"2015",0.717285714285714
"2016",0.357714285714286
"2017",0.164
"2018",-0.034
"2019",-0.141164833586747
"2020",-0.305816761555355
"2021",-0.392981235114508
"2022",-0.376666638146685
"2023",-0.286875036133713
"2024",-0.26919353068818
"2025",-0.226159055607565
"2026",-0.146201347259998
"2027",-0.0704366790213684
"2028",-0.0015367420922674
"2029",0.0595389979974786
"2030",0.112961171140494
"2031",0.15945627554005
